county,constituency
Mombasa,Changamwe
Mombasa,Jomvu
Mombasa,Kisauni
Mombasa,Nyali
Mombasa,Likoni
Mombasa,Mvita
Kwale,Msambweni
Kwale,Lungalunga
Kwale,Matuga
Kwale,Kinango
Kilifi,Kilifi North
Kilifi,Kilifi South
Kilifi,Kaloleni
Kilifi,Rabai
Kilifi,Ganze
Kilifi,Malindi
Kilifi,Magarini
Tana River,Garsen
Tana River,Galole
Tana River,Bura
Lamu,Lamu West
Lamu,Lamu East
Taita Taveta,Taveta
Taita Taveta,Wundanyi
Taita Taveta,Mwatate
Taita Taveta,Voi
Garissa,Garissa Township
Garissa,Balambala
Garissa,Lagdera
Garissa,Dadaab
Garissa,Fafi
Garissa,Ijara
Wajir,Wajir North
Wajir,Wajir East
Wajir,Tarbaj
Wajir,Wajir West
Wajir,Wajir South
Wajir,Eldas
Mandera,Mandera West
Mandera,Banissa
Mandera,Mandera North
Mandera,Mandera South
Mandera,Mandera East
Mandera,Lafey
Marsabit,Moyale
Marsabit,Saku
Marsabit,Laisamis
Marsabit,North Horr
Isiolo,Isiolo North
Isiolo,Isiolo South
Meru,Igembe South
Meru,Igembe Central
Meru,Igembe North
Meru,Tigania West
Meru,Tigania East
Meru,North Imenti
Meru,Buuri
Meru,Central Imenti
Meru,South Imenti
Tharaka-Nithi,Maara
Tharaka-Nithi,Chuka/Igambang'ombe
Tharaka-Nithi,Tharaka
Embu,Manyatta
Embu,Runyenjes
Embu,Mbeere South
Embu,Mbeere North
Kitui,Mwingi North
Kitui,Mwingi West
Kitui,Mwingi Central
Kitui,Kitui West
Kitui,Kitui Rural
Kitui,Kitui Central
Kitui,Kitui East
Kitui,Kitui South
Machakos,Masinga
Machakos,Yatta
Machakos,Kangundo
Machakos,Matungulu
Machakos,Kathiani
Machakos,Mavoko
Machakos,Machakos Town
Machakos,Mwala
Makueni,Mbooni
Makueni,Kilome
Makueni,Kaiti
Makueni,Makueni
Makueni,Kibwezi West
Makueni,Kibwezi East
Nyandarua,Kinangop
Nyandarua,Kipipiri
Nyandarua,Ol Kalou
Nyandarua,Ol Joro Orok
Nyandarua,Ndaragwa
Nyeri,Tetu
Nyeri,Kieni
Nyeri,Mathira
Nyeri,Othaya
Nyeri,Mukurweini
Nyeri,Nyeri Town
Kirinyaga,Mwea
Kirinyaga,Gichugu
Kirinyaga,Ndia
Kirinyaga,Kirinyaga Central
Murang'a,Kangema
Murang'a,Mathioya
Murang'a,Kiharu
Murang'a,Kigumo
Murang'a,Kandara
Murang'a,Gatanga
Murang'a,Maragwa
Kiambu,Gatundu South
Kiambu,Gatundu North
Kiambu,Juja
Kiambu,Ruiru
Kiambu,Githunguri
Kiambu,Kiambu
Kiambu,Kiambaa
Kiambu,Kabete
Kiambu,Kikuyu
Kiambu,Limuru
Kiambu,Lari
Kiambu,Thika Town
Turkana,Turkana North
Turkana,Turkana West
Turkana,Turkana Central
Turkana,Loima
Turkana,Turkana South
Turkana,Turkana East
West Pokot,Kapenguria
West Pokot,Sigor
West Pokot,Kacheliba
West Pokot,Pokot South
Samburu,Samburu West
Samburu,Samburu North
Samburu,Samburu East
Trans Nzoia,Kwanza
Trans Nzoia,Endebess
Trans Nzoia,Saboti
Trans Nzoia,Kiminini
Trans Nzoia,Cherangany
Uasin Gishu,Soy
Uasin Gishu,Turbo
Uasin Gishu,Moiben
Uasin Gishu,Ainabkoi
Uasin Gishu,Kapseret
Uasin Gishu,Kesses
Elgeyo Marakwet,Marakwet East
Elgeyo Marakwet,Marakwet West
Elgeyo Marakwet,Keiyo North
Elgeyo Marakwet,Keiyo South
Nandi,Tinderet
Nandi,Aldai
Nandi,Nandi Hills
Nandi,Chesumei
Nandi,Emgwen
Nandi,Mosop
Baringo,Tiaty
Baringo,Baringo North
Baringo,Baringo Central
Baringo,Baringo South
Baringo,Mogotio
Baringo,Eldama Ravine
Laikipia,Laikipia West
Laikipia,Laikipia East
Laikipia,Laikipia North
Nakuru,Molo
Nakuru,Njoro
Nakuru,Naivasha
Nakuru,Gilgil
Nakuru,Kuresoi South
Nakuru,Kuresoi North
Nakuru,Subukia
Nakuru,Rongai
Nakuru,Bahati
Nakuru,Nakuru Town West
Nakuru,Nakuru Town East
Narok,Narok North
Narok,Narok South
Narok,Narok East
Narok,Narok West
Narok,Emurua Dikirr
Narok,Kilgoris
Kajiado,Kajiado North
Kajiado,Kajiado Central
Kajiado,Kajiado East
Kajiado,Kajiado West
Kajiado,Kajiado South
Kericho,Kipkelion East
Kericho,Kipkelion West
Kericho,Ainamoi
Kericho,Bureti
Kericho,Belgut
Kericho,Sigowet/Soin
Bomet,Sotik
Bomet,Chepalungu
Bomet,Bomet East
Bomet,Bomet Central
Bomet,Konoin
Kakamega,Lugari
Kakamega,Likuyani
Kakamega,Malava
Kakamega,Lurambi
Kakamega,Navakholo
Kakamega,Mumias West
Kakamega,Mumias East
Kakamega,Matungu
Kakamega,Butere
Kakamega,Khwisero
Kakamega,Shinyalu
Kakamega,Ikolomani
Vihiga,Vihiga
Vihiga,Sabatia
Vihiga,Hamisi
Vihiga,Luanda
Vihiga,Emuhaya
Bungoma,Mt. Elgon
Bungoma,Sirisia
Bungoma,Kabuchai
Bungoma,Bumula
Bungoma,Kanduyi
Bungoma,Webuye East
Bungoma,Webuye West
Bungoma,Kimilili
Bungoma,Tongaren
Busia,Teso North
Busia,Teso South
Busia,Nambale
Busia,Matayos
Busia,Butula
Busia,Funyula
Busia,Budalangi
Siaya,Ugenya
Siaya,Ugunja
Siaya,Alego Usonga
Siaya,Gem
Siaya,Bondo
Siaya,Rarieda
Kisumu,Kisumu East
Kisumu,Kisumu West
Kisumu,Kisumu Central
Kisumu,Seme
Kisumu,Nyando
Kisumu,Muhoroni
Kisumu,Nyakach
Homa Bay,Kasipul
Homa Bay,Kabondo Kasipul
Homa Bay,Karachuonyo
Homa Bay,Rangwe
Homa Bay,Homa Bay Town
Homa Bay,Ndhiwa
Homa Bay,Suba North
Homa Bay,Suba South
Migori,Rongo
Migori,Awendo
Migori,Suna East
Migori,Suna West
Migori,Uriri
Migori,Nyatike
Migori,Kuria West
Migori,Kuria East
Kisii,Bonchari
Kisii,South Mugirango
Kisii,Bomachoge Borabu
Kisii,Bobasi
Kisii,Bomachoge Chache
Kisii,Nyaribari Chache
Kisii,Nyaribari Masaba
Kisii,Kitutu Chache North
Kisii,Kitutu Chache South
Nyamira,Kitutu Masaba
Nyamira,West Mugirango
Nyamira,North Mugirango
Nyamira,Borabu
Nairobi,Westlands
Nairobi,Dagoretti North
Nairobi,Dagoretti South
Nairobi,Lang'ata
Nairobi,Kibra
Nairobi,Roysambu
Nairobi,Kasarani
Nairobi,Ruaraka
Nairobi,Embakasi South
Nairobi,Embakasi North
Nairobi,Embakasi Central
Nairobi,Embakasi East
Nairobi,Embakasi West
Nairobi,Makadara
Nairobi,Kamukunji
Nairobi,Starehe
Nairobi,Mathare